attribute,B'tolen
Title,'Raven's Flight'
Category,Aspects
Edicts,Meet new civilizations; constant learning; wondering and wandering
Portfolio,Unbound travel; Learning; Luck; Exploration
Anathema,Permanent settlers
Followers,Travelers; wanderers; pilgrims; sailors; elves; tribes
Pantheon,Tribal; Elven; Druidic
Plane,Evergrowing Forest
Divine Ability,Dexterity or Intelligence
Divine Font,Heal or Harm
Divine Skill,Society
Favored Weapon,Longbow
Domains,Air; Change; Freedom; Knowledge; Swarm; Travel
Cleric Spells,1st: Animal Allies; 2nd: Animal Form; 9th: Shapechange
