attribute,Berohath
Title,'Fox's Cunning'
Category,Aspects
Edicts,Lie and Deceive fools; Take advantage of situations; Spread doubt
Portfolio,Stealth; Thievery; Malice; Luck; Night
Anathema,Announce intentions; Give back stolen things
Followers,Travelers; thieves; bagabonds; beggars; downtrodden; scavengers; rogues; elves; tribes
Pantheon,Tribal; Elven; Goblin
Plane,Evergrowing Forest
Divine Ability,Dexterity or Intelligence
Divine Font,Harm
Divine Skill,Stealth
Favored Weapon,Dagger
Domains,Darkness; Luck; Moon; Secrecy; Trickery
Cleric Spells,1st: Invisible Item; 2nd: Invisibility; 5th: Chameleon Coat
