attribute,Neverborn
Title,'The Forgotten God'; 'The First Undead'
Category,Fifth Dimension
Edicts,Understand the forces of creation and destruction; Survive
Portfolio,Endurance; Entropy; Adaption; Pain
Anathema,Compassion; Help
Followers,Nihilists; masochists; cultists; depressed; renegade; fiends; titans; undead; Hithlen
Pantheon,Hithlen
Plane,Destruction
Divine Ability,Strength or Constitution
Divine Font,Heal or Harm
Divine Skill,Occultism
Favored Weapon,Spiked Chain
Domains,Abomination; Delirium; Healing; Nightmares; Pain; Sorrow; Undeath
Cleric Spells,1st: Endure; 5th: Ectoplasmic Expulsion; 9th: Unspeakable Shadow
