attribute,Veiroch
Title,'The Tormentor'; 'Hand of the Tyrant'
Category,Devils
Edicts,Punish Disobedience; Strength through Pain; Rule of Fear
Portfolio,Torment; Executions; Total Discipline; Complete Authority
Anathema,Show compassion; Disrespect command; Soften a sentence
Followers,Tormentors; Pugilists; Masochists; Kenorex; Painbringers ; dark elves
Pantheon,Kenorex; Kambah; dark elf
Plane,Hell
Divine Ability,Constitution or Charisma
Divine Font,Harm
Divine Skill,Intimidation
Favored Weapon,Greataxe
Domains,Abomination; Delirium; Duty; Fire; Pain; Tyranny; Zeal
Cleric Spells,1st: Phantom Pain; 2nd: Slough Skin; 4th: Crushing Despair
