Name	Gibba
Title	Earth Lady
Category	Primordial
Edicts	Steadfast determination, Stability, Strong foundations
Portfolio	Earth, Minerals, Stone, Masonry
Anathema	Create deliberate inferior works, Blend metal alloys into weaker
Followers	Mountaineers, masons, smiths, engineers, stonefolk, giants, titans, dwarves
Pantheon	Dwarven
Plane	Elemental Ring
Divine Ability	Strength, Constitution
Divine Font	Heal, Harm
Divine Skill	Crafting
Favored Weapon	Maul
Domains	Creation, Earth, Dust, Metal, Might
Cleric Spells	1st: Shockwave, 3rd: Earthbind, 6th: Flesh to Stone
