Name	Klont
Title	'Thorri-Rakam', 'The First Hammer', 'The Smith'
Category	Primordial
Edicts	Crafting, Metalworking, Material Shaping
Portfolio	Hard work, Smithing, Hearth, Smelting 
Anathema	Sloth, Inferior crafting
Followers	Miners, smiths, metalworkers, dwarves, gnomes, stone creatures
Pantheon	Gnome, Dwarven
Plane	Kelzadam, Elemental Ring
Divine Ability	Strength or Constitution
Divine Font	Heal
Divine Skill	Crafting
Favored Weapon	Maul
Domains	Earth, Creation, Fire, Metal, Toil
Cleric Spells	1st: Forge, 2nd: Heat Metal, 5th: Mantle of the Melting Heart
