Name	Lainek
Title	The Rebel Souls
Category	Ascended
Edicts	Total freedom, Liberate prisoners, Constant struggle
Portfolio	Freedom, Liberation, Solidarity, United effort
Anathema	Take prisoners, Torment captives, Abuse authority
Followers	Slaves, oppressed, workers, Zolkar
Pantheon	
Plane	Zaramel
Divine Ability	Dexterity, Intelligence
Divine Font	Heal
Divine Skill	Thievery
Favored Weapon	Light Hammer
Domains	Change, Cities, Family, Freedom, Luck, Secrecy, Soul
Cleric Spells	1st: Liberating Command, 2nd: Penumbral Disguise, 3rd: Invisibility Sphere
