Name	Nentha
Title	The Wise
Category	Dragon
Edicts	Dragonpact, Kindness, Understanding other races, Share Knowledge
Portfolio	Peace, mentorship, magic scholarship, assistance
Anathema	Wanton destruction, Break treaties, dragonpact
Followers	Dragons, dragonriders, mentors, teachers, librarians, Sunshine
Pantheon	
Plane	Fortress of the Just
Divine Ability	Wisdom, Charisma
Divine Font	Heal
Divine Skill	Society
Favored Weapon	Claws, Longsword
Domains	Cities, Duty, Knowledge, Truth, Wealth, Wyrmkin
Cleric Spells	1st: Burning Hands, 4th: Reflective Scales, 6th: Dragon Form
