Name	Reszek
Title	"The Sun", "Life Spark"
Category	-
Edicts	Create Communities, Sustain Life, Truthful Deeds
Portfolio	Empowerment, Clarity, Altruism, Truth, Life
Anathema	Deliberate lies, Undead creation 
Followers	Hospitalers, Knights, Nobles, Priests, Peasants, 
Pantheon	Luminous Walkers
Plane	Golden Palace
Divine Ability	Strength or Wisdom
Divine Font	Heal
Divine Skill	Society
Favored Weapon	Morningstar
Domains	Creation, Fire, Healing, Protection, Sun, Truth, Zeal
Cleric Spells	1st: Burning Hands, 2nd: Flaming Sphere, 4th: Fire Shield
