Name	Saekla
Title	"Air Lord"
Category	Primordial
Edicts	Unbound travel, Weather phenomena
Portfolio	Air, Wandering, Lighthearted
Anathema	Take prisoners, Cut wings
Followers	Travellers, pilgrims, mountaineers, sailors, windfolk, Allwick
Pantheon	Elemental
Plane	Elemental Ring
Divine Ability	Dexterity or Intelligence
Divine Font	Heal or Harm
Divine Skill	Acrobatics
Favored Weapon	Rapier
Domains	Air, Freedom, Lightning, Nature, Travel
Cleric Spells	1st: Gust of Wind, 3rd: Lightning Bolt, 4th: Fly
