Name	Tarov
Title	'Mountain Root'
Category	Aspects
Edicts	Stone passways, Rememberance of the departed, Runecrafting
Portfolio	Earth, Stone, Vigilance, Ley Lines, Deeps
Anathema	Ley line destruction, Secret breaking
Followers	Miners, seekers, acolytes, tribes, dwarves, gnomes, stone creatures, Deep races
Pantheon	Gnome, tribal, Giant
Plane	Evergrowing Forest, Elemental Ring
Divine Ability	Strength or Constitution
Divine Font	Heal
Divine Skill	Society
Favored Weapon	Pick
Domains	Earth, Glyph, Knowledge, Metal, Protection, Repose, Secrecy, Travel
Cleric Spells	1st: Interposing Earth, 4th: Shape Stone, 5th: Wall of Stone
