Name	Vard
Title	"The Builder"
Category	-
Edicts	Stone Building, Fortification Mastery, Urban policies
Portfolio	Defence, Protection, Castles, Strategic Fortifications, Community
Anathema	Haste, impatience
Followers	Builders, stonemasons, architects, engineers, dwarves, stonefolk, stone creatures
Pantheon	Dwarven
Plane	Kelzadam, Elemental Ring
Divine Ability	Constitution or Intelligence
Divine Font	Heal
Divine Skill	Society
Favored Weapon	Greatpick
Domains	Cities, Duty, Earth, Family, Glyph, Protection, Vigil
Cleric Spells	1st: Ant Haul, 4th: Shape Stone, 5th: Wall of Stone
